# Residuals         
# Time              	p                   	Ux                  	Uy                  	Uz                  
1                   	9.999999963260e-01	9.999999978420e-01	1.000000000000e+00	1.000000000000e+00
2                   	1.050569590310e-01	1.661251776730e-01	4.763603552280e-01	4.556464003500e-01
3                   	9.288443743720e-02	1.177888674960e-01	3.819130192460e-01	3.530754188650e-01
4                   	9.735252069980e-02	6.977525115920e-02	2.685464738200e-01	2.536752399720e-01
5                   	8.696282460030e-02	5.340520147830e-02	2.037299425590e-01	2.027609637060e-01
6                   	8.832917083050e-02	4.331289650090e-02	1.652558250460e-01	1.622919202270e-01
7                   	9.355771876610e-02	3.896269421990e-02	1.622202787610e-01	1.604558223210e-01
8                   	9.465936938340e-02	3.726189656090e-02	1.657944010660e-01	1.671138804350e-01
9                   	9.013189245440e-02	3.517200666960e-02	1.565895898140e-01	1.603720261310e-01
10                  	8.356676952320e-02	3.276294076330e-02	1.399005766510e-01	1.445934631540e-01
11                  	7.569777113200e-02	3.003477322640e-02	1.197915705810e-01	1.220983031480e-01
12                  	6.777490319160e-02	2.714869667050e-02	1.019911977660e-01	1.016198133320e-01
13                  	6.002168291200e-02	2.425864765870e-02	8.979061218370e-02	8.827492357160e-02
14                  	5.386233485200e-02	2.144156046150e-02	7.870260872600e-02	7.875984608700e-02
15                  	5.004393202680e-02	1.932184009040e-02	7.089060471200e-02	7.306639896110e-02
16                  	4.733378103080e-02	1.796704335990e-02	6.585049771770e-02	6.911872185950e-02
17                  	4.568634354710e-02	1.741334832800e-02	6.252297087670e-02	6.570195943500e-02
18                  	4.416131516060e-02	1.704079095190e-02	5.834730695120e-02	6.107016234300e-02
19                  	4.286009873770e-02	1.650978469230e-02	5.411100121760e-02	5.577863733320e-02
20                  	4.183133845730e-02	1.580021782580e-02	5.025992116160e-02	5.148386778330e-02
21                  	4.052200591280e-02	1.486334805140e-02	4.634068577300e-02	4.698396096420e-02
22                  	3.920076563700e-02	1.400725675900e-02	4.313358053700e-02	4.303862133740e-02
23                  	3.754139705060e-02	1.307823397560e-02	4.038168001010e-02	3.957224484350e-02
24                  	3.576045524310e-02	1.212618754560e-02	3.758938458670e-02	3.634144384600e-02
25                  	3.385505398870e-02	1.126974089880e-02	3.483305919520e-02	3.335746160530e-02
26                  	3.220075004370e-02	1.061013567150e-02	3.220430871650e-02	3.066020047700e-02
27                  	3.054479143080e-02	9.937956767520e-03	3.006603241600e-02	2.842734941960e-02
28                  	2.880918357860e-02	9.210424731760e-03	2.799843279860e-02	2.639371295550e-02
29                  	2.696451808560e-02	8.591478918320e-03	2.589782212030e-02	2.445912181890e-02
30                  	2.522566260630e-02	8.079213989130e-03	2.396020633840e-02	2.277746765790e-02
31                  	2.346719662950e-02	7.624318232470e-03	2.228001488200e-02	2.145527611780e-02
32                  	2.186180403700e-02	7.298916482210e-03	2.099579650550e-02	2.031869630390e-02
33                  	2.050396475800e-02	7.083789835320e-03	2.009587320760e-02	1.940323620490e-02
34                  	1.942303820580e-02	6.950466635270e-03	1.957262618960e-02	1.876032386400e-02
35                  	1.851479205860e-02	6.983253147280e-03	1.945358050940e-02	1.832444491880e-02
36                  	1.791111072370e-02	7.151119690440e-03	1.978438592560e-02	1.812881729840e-02
37                  	1.781029528990e-02	7.388405371230e-03	2.038663744140e-02	1.830283982270e-02
38                  	1.786604816040e-02	7.543641041150e-03	2.089027200940e-02	1.887205355190e-02
39                  	1.793365898650e-02	7.468727613340e-03	2.102072424470e-02	1.934634534660e-02
40                  	1.819671840270e-02	7.039373353530e-03	2.031334612630e-02	1.920106854160e-02
41                  	1.852790891720e-02	6.491553507640e-03	1.932049040930e-02	1.853750923450e-02
42                  	1.868497945990e-02	5.975919408360e-03	1.846850632200e-02	1.779785658810e-02
43                  	1.889641720270e-02	5.600218153450e-03	1.775693873020e-02	1.688903246560e-02
44                  	1.869752472200e-02	5.223106019760e-03	1.700484224690e-02	1.603915834500e-02
45                  	1.839852476680e-02	4.819099767140e-03	1.612421770510e-02	1.515957008130e-02
46                  	1.776192083210e-02	4.505241089430e-03	1.530591322380e-02	1.429199807470e-02
47                  	1.701436220080e-02	4.170297985930e-03	1.444759679180e-02	1.343614330640e-02
48                  	1.619681977970e-02	3.851260765870e-03	1.339745072540e-02	1.250310404020e-02
49                  	1.500471250730e-02	3.535590955540e-03	1.231397665010e-02	1.155345816510e-02
50                  	1.389943417490e-02	3.194204442240e-03	1.129949530420e-02	1.049959460270e-02
51                  	1.308797325480e-02	2.944067134560e-03	1.040511871860e-02	9.524487521570e-03
52                  	1.234597924710e-02	2.751532349780e-03	9.616505471990e-03	8.696990781120e-03
53                  	1.171628847080e-02	2.596811986590e-03	8.984902685200e-03	8.057307440910e-03
54                  	1.102206130710e-02	2.469605584980e-03	8.434543569220e-03	7.491524527550e-03
55                  	1.041694186670e-02	2.343924073450e-03	7.910374874820e-03	7.022906909570e-03
56                  	9.721417567910e-03	2.246806490710e-03	7.470002799780e-03	6.631843295350e-03
57                  	9.226726215890e-03	2.178650146010e-03	7.145178557720e-03	6.286226716440e-03
58                  	9.023103714290e-03	2.106077873330e-03	6.921189182860e-03	6.045796722040e-03
59                  	9.031769886160e-03	2.064022964800e-03	6.901416551160e-03	6.004654022160e-03
60                  	9.164612521600e-03	2.050147137280e-03	6.964272005940e-03	5.973677810920e-03
61                  	9.287985322570e-03	2.042110083510e-03	7.061330502100e-03	5.981458698370e-03
62                  	9.236805442910e-03	2.048085700820e-03	7.172073743250e-03	6.008488337610e-03
63                  	9.174652962990e-03	2.062676288290e-03	7.249436396910e-03	6.028821150820e-03
64                  	9.181339275020e-03	2.069099650970e-03	7.319222284890e-03	6.110570520600e-03
65                  	9.177941296880e-03	2.076783058260e-03	7.380943075380e-03	6.185758014580e-03
66                  	9.379504736580e-03	2.103337620710e-03	7.473853930040e-03	6.345077341250e-03
67                  	9.719060741860e-03	2.134424136280e-03	7.491343418190e-03	6.393862189490e-03
68                  	9.697795070100e-03	2.157223178800e-03	7.459700918160e-03	6.522336820620e-03
69                  	9.652504990930e-03	2.169099767720e-03	7.384103949950e-03	6.408257427240e-03
70                  	9.509939561890e-03	2.122410255070e-03	7.206695234420e-03	6.339937614690e-03
71                  	9.176697457790e-03	2.086385206640e-03	7.082819298060e-03	6.223460303860e-03
72                  	8.934485124330e-03	2.007616775020e-03	6.891833516030e-03	6.119326455440e-03
73                  	8.798826356020e-03	1.951584351490e-03	6.631963621480e-03	5.951126806640e-03
74                  	8.393313457330e-03	1.835420924500e-03	6.270655316230e-03	5.763144291110e-03
75                  	8.078499843620e-03	1.759840900840e-03	5.999770663250e-03	5.535244304730e-03
76                  	7.883112719290e-03	1.647234062630e-03	5.701678191040e-03	5.269402174670e-03
77                  	7.542707482710e-03	1.553782370190e-03	5.467964398070e-03	5.004017257370e-03
78                  	7.347094657270e-03	1.515342877580e-03	5.243595692230e-03	4.815135883080e-03
79                  	7.220928101320e-03	1.469182756560e-03	5.061601026460e-03	4.638253173430e-03
80                  	6.846861583900e-03	1.458098700690e-03	4.896384356520e-03	4.529574112320e-03
81                  	6.489092528100e-03	1.417463748830e-03	4.789597649340e-03	4.420280703360e-03
82                  	6.212334195950e-03	1.441236084860e-03	4.750702573010e-03	4.352438498470e-03
83                  	6.085429998050e-03	1.418486394340e-03	4.687465068250e-03	4.292474091840e-03
84                  	5.927403078520e-03	1.429035620090e-03	4.729089757410e-03	4.308708341260e-03
85                  	5.983976864920e-03	1.421338142790e-03	4.749807655510e-03	4.353830184780e-03
86                  	6.020333876310e-03	1.400961202700e-03	4.676202473750e-03	4.306702668040e-03
87                  	5.701626503360e-03	1.363985651240e-03	4.545534600330e-03	4.255908972300e-03
88                  	5.448767604950e-03	1.318188617220e-03	4.428290423560e-03	4.142847621380e-03
89                  	5.397184365550e-03	1.265113198780e-03	4.278521754440e-03	4.038711005500e-03
90                  	5.313987989140e-03	1.217960978190e-03	4.209929514290e-03	3.951038562810e-03
91                  	5.359052570690e-03	1.208355546480e-03	4.220737715960e-03	3.915536073180e-03
92                  	5.586337904910e-03	1.179306096900e-03	4.230897330340e-03	3.839175403140e-03
93                  	5.578143822560e-03	1.140300944350e-03	4.177560432340e-03	3.783996496940e-03
94                  	5.500636926020e-03	1.122565132160e-03	4.182167339120e-03	3.753423708190e-03
95                  	5.603510846730e-03	1.118495737240e-03	4.243647641230e-03	3.728108652940e-03
96                  	5.671647104900e-03	1.122302166210e-03	4.310911178930e-03	3.758779442500e-03
97                  	5.771547876520e-03	1.133504653750e-03	4.386028808650e-03	3.788234735180e-03
98                  	6.024526281840e-03	1.127305517490e-03	4.412943032680e-03	3.805063748640e-03
99                  	6.124395487290e-03	1.097738086880e-03	4.343053377930e-03	3.751321759430e-03
100                 	6.126080422130e-03	1.071091658180e-03	4.277108813010e-03	3.724808892160e-03
101                 	6.139007025990e-03	1.067606917930e-03	4.292762247830e-03	3.685477915670e-03
102                 	6.244234936450e-03	1.063432194110e-03	4.311258037310e-03	3.733772525480e-03
103                 	6.165610170530e-03	1.066343723400e-03	4.323907057160e-03	3.754330081240e-03
104                 	6.221710241680e-03	1.061564348800e-03	4.277842158570e-03	3.759274069960e-03
105                 	6.166734585750e-03	1.046492201520e-03	4.172659615630e-03	3.666684978260e-03
106                 	5.981354049950e-03	1.022827116760e-03	4.005969955730e-03	3.588552889180e-03
107                 	5.642339741940e-03	1.020649638500e-03	3.866993416460e-03	3.423127647700e-03
108                 	5.517776399140e-03	9.812759395570e-04	3.744873872320e-03	3.318277263050e-03
109                 	5.291197973690e-03	9.886479368890e-04	3.670176439510e-03	3.238998881410e-03
110                 	5.220603965910e-03	9.872165833740e-04	3.682658357830e-03	3.181730129560e-03
111                 	5.148718318600e-03	1.014787648280e-03	3.728400140470e-03	3.192485998440e-03
