# Residuals         
# Time              	p                   	Ux                  	Uy                  	Uz                  
1                   	9.999999961770e-01	9.999999976580e-01	1.000000000000e+00	1.000000000000e+00
2                   	1.105751659690e-01	1.617526494420e-01	4.675360283610e-01	4.362463671840e-01
3                   	2.008989578310e-01	1.172216084380e-01	3.680005266070e-01	3.410120005800e-01
4                   	3.500495093910e-01	5.427188094270e-01	6.569877585230e-01	6.569195107530e-01
5                   	4.120531925810e-01	4.924782529270e-01	5.822580394730e-01	5.809203256080e-01
6                   	3.171972066490e-01	4.270042619110e-01	4.831963291380e-01	4.994536579990e-01
7                   	1.688717262190e-01	3.694642992070e-01	3.693332579240e-01	3.842150115140e-01
8                   	1.817693329710e-01	3.160689170190e-01	3.175664617040e-01	3.340552132370e-01
9                   	1.922327368270e-01	2.905333253640e-01	3.097027051390e-01	3.149186128820e-01
10                  	1.442889575820e-01	2.490949555570e-01	2.698527507630e-01	2.808944763070e-01
11                  	1.132792896840e-01	1.973938484570e-01	2.409399457640e-01	2.409017614060e-01
12                  	9.317020281710e-02	1.608474014820e-01	2.131142367490e-01	2.120924175760e-01
13                  	8.137132736490e-02	1.443782331790e-01	1.950066037830e-01	1.936401397110e-01
14                  	7.676084526770e-02	1.427546016290e-01	1.892678797040e-01	1.908748921870e-01
15                  	7.786946841340e-02	1.533965150040e-01	2.023443037940e-01	2.012215943090e-01
16                  	7.967869283860e-02	1.668129791460e-01	2.254313481570e-01	2.198044448110e-01
17                  	8.122175152830e-02	1.821232759940e-01	2.477998984830e-01	2.405122479070e-01
18                  	8.724117572020e-02	1.912057832710e-01	2.606723887190e-01	2.534030286100e-01
19                  	9.083025572700e-02	1.943654643210e-01	2.628234044240e-01	2.558041736210e-01
20                  	9.249040635330e-02	1.930551646000e-01	2.614163110060e-01	2.519735234130e-01
21                  	9.389123879770e-02	1.944417936660e-01	2.615879877720e-01	2.473426982570e-01
22                  	9.362149579580e-02	1.926394785150e-01	2.635023924070e-01	2.423001258960e-01
23                  	9.322917830970e-02	1.856047884270e-01	2.654338558910e-01	2.422506250990e-01
24                  	9.247008180750e-02	1.764845719370e-01	2.649104196710e-01	2.462138509340e-01
25                  	9.510793941780e-02	1.684804805440e-01	2.653014502430e-01	2.526186790350e-01
26                  	9.961707249470e-02	1.604752437250e-01	2.610665353270e-01	2.561978163860e-01
27                  	1.007435395850e-01	1.515735487770e-01	2.517388772960e-01	2.554067670030e-01
28                  	9.990954108590e-02	1.422544033980e-01	2.405572305750e-01	2.541739155420e-01
29                  	9.701106906190e-02	1.344757223730e-01	2.373034304000e-01	2.544090145020e-01
30                  	9.607437655180e-02	1.258219088770e-01	2.473645836560e-01	2.554378211780e-01
31                  	9.637539993210e-02	1.164969236680e-01	2.580731696970e-01	2.512406333660e-01
32                  	9.616772168390e-02	1.074620946880e-01	2.537155495410e-01	2.373976742900e-01
33                  	9.386350272620e-02	9.898830121890e-02	2.369415727260e-01	2.173093700730e-01
34                  	9.027397088750e-02	9.152107994870e-02	2.174098637200e-01	1.986852574910e-01
35                  	8.623306954560e-02	8.426861121490e-02	2.002226667920e-01	1.853967084310e-01
36                  	8.275851697900e-02	7.681322367910e-02	1.884193901910e-01	1.733303631850e-01
37                  	7.968784573720e-02	6.965925076230e-02	1.774732620150e-01	1.623788551120e-01
38                  	7.705946716970e-02	6.271254815600e-02	1.675204355230e-01	1.527427212580e-01
39                  	7.445246279100e-02	5.657806517780e-02	1.582728562450e-01	1.440038009430e-01
40                  	7.177457554860e-02	5.132383909990e-02	1.494901315850e-01	1.365798460650e-01
41                  	6.936470851270e-02	4.712941138730e-02	1.407536676650e-01	1.297609585780e-01
42                  	6.662999432400e-02	4.376243117190e-02	1.317315643140e-01	1.224162358760e-01
43                  	6.382735193610e-02	4.065499345320e-02	1.221315552960e-01	1.143207548910e-01
44                  	6.088361477720e-02	3.773666015090e-02	1.130381340370e-01	1.065751783950e-01
45                  	5.790087061930e-02	3.493486983770e-02	1.046326003830e-01	9.912406880820e-02
46                  	5.499911249810e-02	3.225758158950e-02	9.634192518860e-02	9.147761458190e-02
47                  	5.227538742860e-02	2.985319478900e-02	8.864243160920e-02	8.385625781470e-02
48                  	5.007351489800e-02	2.785237045930e-02	8.122241970100e-02	7.648610466860e-02
49                  	4.799171887030e-02	2.584445267030e-02	7.515489654580e-02	7.056521680720e-02
50                  	4.579112153350e-02	2.392807544890e-02	7.025618213550e-02	6.603692352550e-02
51                  	4.366186131590e-02	2.250215236470e-02	6.505452546280e-02	6.130632248690e-02
52                  	4.162350984790e-02	2.113643196240e-02	6.061597645600e-02	5.710262462660e-02
53                  	3.981398184320e-02	1.977734156110e-02	5.657030461960e-02	5.341964881830e-02
54                  	3.812671466740e-02	1.850972879130e-02	5.303734201850e-02	5.004400842920e-02
55                  	3.643261518470e-02	1.737908947230e-02	4.854521446670e-02	4.683184226880e-02
56                  	3.466532631010e-02	1.634067791200e-02	4.560195017660e-02	4.297676266750e-02
57                  	3.299430457620e-02	1.527846368570e-02	4.264544067970e-02	3.986039631170e-02
58                  	3.140182148490e-02	1.430448453520e-02	3.972949972530e-02	3.704951140990e-02
59                  	2.982237118920e-02	1.341260218010e-02	3.693629395740e-02	3.435373725340e-02
60                  	2.827595469670e-02	1.260495127970e-02	3.445199300780e-02	3.187873897340e-02
61                  	2.675233558390e-02	1.183707563650e-02	3.216729809270e-02	2.972671289900e-02
62                  	2.540486998390e-02	1.111286556040e-02	3.016092367100e-02	2.784514369060e-02
63                  	2.412935426430e-02	1.041884430430e-02	2.829577632000e-02	2.606093271020e-02
64                  	2.291387907590e-02	9.782895991300e-03	2.651754997360e-02	2.436622798140e-02
65                  	2.160824381090e-02	9.169299199400e-03	2.480150665030e-02	2.272023052910e-02
66                  	2.040464440230e-02	8.623583617180e-03	2.320482349140e-02	2.114788736220e-02
67                  	1.930337868480e-02	8.119507543390e-03	2.176274308840e-02	1.971681601980e-02
68                  	1.834327643470e-02	7.648580825320e-03	2.044973452510e-02	1.843259333500e-02
69                  	1.761990422070e-02	7.210134191780e-03	1.921827560570e-02	1.723009678220e-02
70                  	1.666571000400e-02	6.814745306700e-03	1.808288352220e-02	1.619616614820e-02
71                  	1.574105660370e-02	6.431370703950e-03	1.696894145950e-02	1.518201315910e-02
72                  	1.487667156880e-02	6.079143824010e-03	1.603694245450e-02	1.437500878050e-02
73                  	1.422684908560e-02	5.726735663560e-03	1.522486521730e-02	1.364974436540e-02
74                  	1.341826200430e-02	5.418205061670e-03	1.450289776210e-02	1.303433613590e-02
75                  	1.303485416620e-02	5.138386650180e-03	1.376669203020e-02	1.242028936950e-02
76                  	1.228901345750e-02	4.824374538760e-03	1.330946174480e-02	1.206665052300e-02
77                  	1.186469010490e-02	4.596924103290e-03	1.261263108180e-02	1.144972743950e-02
78                  	1.155164684460e-02	4.404527920480e-03	1.204614635810e-02	1.096391868630e-02
79                  	1.129828989840e-02	4.198960787560e-03	1.150310381420e-02	1.043429033900e-02
80                  	1.112372276830e-02	4.036833788470e-03	1.069221134650e-02	9.932614866300e-03
81                  	1.059668731600e-02	3.832132789900e-03	1.017900064370e-02	9.374601661160e-03
82                  	1.017833737150e-02	3.664932903450e-03	9.651809889430e-03	8.768549001550e-03
83                  	9.874007071570e-03	3.494244495670e-03	9.244899128480e-03	8.388839602140e-03
84                  	9.611617878890e-03	3.330737863930e-03	8.907379852000e-03	8.097152752980e-03
85                  	9.576115963120e-03	3.196142495180e-03	8.407973579220e-03	7.520704112820e-03
86                  	9.066551873660e-03	2.975136557600e-03	8.150327633740e-03	7.521381318190e-03
87                  	8.866228798730e-03	2.832766702400e-03	7.766108671530e-03	7.126170538550e-03
88                  	8.629252070930e-03	2.757867917180e-03	7.326151165230e-03	6.675048805490e-03
89                  	8.505672589830e-03	2.631581065820e-03	7.137473000130e-03	6.615418868320e-03
90                  	8.299005244760e-03	2.557235571520e-03	6.810826512400e-03	6.190794169560e-03
91                  	8.095474412530e-03	2.427084072880e-03	6.487824552320e-03	6.013757258240e-03
92                  	7.767850759230e-03	2.362105540470e-03	6.438122308600e-03	6.051018087520e-03
93                  	7.794329327430e-03	2.236203201330e-03	5.971138761980e-03	5.482997067490e-03
94                  	7.543516922980e-03	2.140636351550e-03	6.066968078780e-03	5.760005997270e-03
95                  	7.444402710980e-03	2.065951059570e-03	5.957604112840e-03	5.511120311780e-03
96                  	7.226778984520e-03	2.021093118860e-03	5.551690527550e-03	4.989788098010e-03
97                  	6.752104727320e-03	1.918495318700e-03	5.578620695140e-03	5.299339750170e-03
98                  	6.556509269480e-03	1.868991493690e-03	5.234011480030e-03	4.866361945760e-03
99                  	6.556236049410e-03	1.793561087500e-03	4.964251712770e-03	4.633618395930e-03
100                 	6.305227028010e-03	1.716160048020e-03	5.046136057430e-03	4.762804185370e-03
101                 	6.264167269810e-03	1.657076242230e-03	4.691973380520e-03	4.297133206540e-03
102                 	6.071351622220e-03	1.613359884640e-03	4.554430913950e-03	4.280193453700e-03
103                 	5.774437286140e-03	1.600352404870e-03	4.601188804540e-03	4.265705059250e-03
104                 	5.787609613110e-03	1.533213708550e-03	4.167508569600e-03	3.753505743430e-03
105                 	5.622778561030e-03	1.441898708830e-03	4.237082930020e-03	4.066970245750e-03
106                 	5.528178260350e-03	1.391980693620e-03	4.198554734470e-03	3.899006650420e-03
107                 	5.484734508480e-03	1.370429486590e-03	3.857741684070e-03	3.379547874910e-03
108                 	5.113862952320e-03	1.335438130400e-03	4.090137890460e-03	3.892770934540e-03
109                 	5.154606609230e-03	1.321619739690e-03	3.779431645210e-03	3.502853382570e-03
110                 	5.160856070330e-03	1.283197950780e-03	3.720787435820e-03	3.479935495570e-03
111                 	4.961502453810e-03	1.233715607350e-03	3.749250666880e-03	3.565919813970e-03
112                 	4.866094815570e-03	1.207712397920e-03	3.485967100180e-03	3.154051713490e-03
113                 	5.089832159580e-03	1.162008579150e-03	3.450865052010e-03	3.263339637390e-03
114                 	4.618013465740e-03	1.193111293460e-03	3.675799014020e-03	3.428822955610e-03
115                 	4.846984100830e-03	1.177728181690e-03	3.349931463540e-03	3.003198772550e-03
116                 	4.680517597510e-03	1.155099250510e-03	3.530692653670e-03	3.437260301720e-03
117                 	4.708743222290e-03	1.137047325590e-03	3.440309988100e-03	3.181138724300e-03
118                 	4.690131493980e-03	1.119436647460e-03	3.222399884200e-03	2.869354799280e-03
119                 	4.391070270000e-03	1.076218893810e-03	3.492621426040e-03	3.372340894250e-03
120                 	4.369005306100e-03	1.092552818320e-03	3.225139259910e-03	2.950820204840e-03
121                 	4.465495109890e-03	1.065530608250e-03	3.172509661930e-03	2.955790063990e-03
122                 	4.346928784620e-03	1.060310686900e-03	3.228521601900e-03	3.102582988890e-03
123                 	4.430246024220e-03	1.043306319080e-03	3.042850513840e-03	2.710207343310e-03
124                 	4.421717260770e-03	1.008707159530e-03	3.094947240670e-03	2.932920765050e-03
125                 	4.099636720060e-03	1.032291739600e-03	3.221054916540e-03	2.981294824660e-03
126                 	4.242553687070e-03	1.007385384280e-03	2.880409909630e-03	2.544692400970e-03
127                 	4.191059517540e-03	9.701975444220e-04	3.072741568640e-03	2.967234538680e-03
128                 	4.246029991150e-03	9.841941195690e-04	3.039969692070e-03	2.789099814460e-03
129                 	4.213867008700e-03	9.728288937060e-04	2.854005748690e-03	2.547064037230e-03
130                 	3.905665594960e-03	9.569705375470e-04	3.154329744110e-03	3.049022488050e-03
131                 	3.983475077440e-03	9.809665935280e-04	2.889188352150e-03	2.628519930230e-03
132                 	4.078705159530e-03	9.433523078940e-04	2.890086731290e-03	2.705298789970e-03
133                 	3.938708727330e-03	9.480147311620e-04	2.958730477640e-03	2.831826332360e-03
134                 	3.943550891280e-03	9.446665976170e-04	2.759874736690e-03	2.438461203440e-03
135                 	3.998101882530e-03	9.006657991280e-04	2.802080018940e-03	2.695773175850e-03
136                 	3.691759894290e-03	9.415980420510e-04	2.917738238960e-03	2.720856467390e-03
137                 	3.967963604710e-03	9.282190744550e-04	2.638974733910e-03	2.355283962970e-03
138                 	3.876903601750e-03	9.081726642230e-04	2.895333614610e-03	2.821121386840e-03
139                 	3.997925339070e-03	9.328534433490e-04	2.812348296600e-03	2.596197411320e-03
140                 	3.982566109520e-03	8.985231440420e-04	2.621923007540e-03	2.420375866320e-03
141                 	3.764504341270e-03	8.935548058380e-04	2.947614744880e-03	2.869136811510e-03
142                 	3.808419279410e-03	9.271605348680e-04	2.716994453330e-03	2.477549412920e-03
143                 	3.895820244020e-03	8.874709680210e-04	2.776762497930e-03	2.642150376780e-03
144                 	3.810994579670e-03	8.994381024380e-04	2.835385532050e-03	2.712837414880e-03
145                 	3.923942963690e-03	9.014140842050e-04	2.613846140140e-03	2.284381664760e-03
146                 	3.902697006770e-03	8.691224990850e-04	2.752769174740e-03	2.669863209410e-03
147                 	3.682354710830e-03	9.126008091290e-04	2.829890677220e-03	2.625369013940e-03
148                 	3.936184267560e-03	9.042695259200e-04	2.586089493960e-03	2.342150532060e-03
149                 	3.807612839200e-03	8.759741559850e-04	2.822456053090e-03	2.722448869250e-03
150                 	3.853594247370e-03	9.008100877760e-04	2.705508716490e-03	2.493268139080e-03
151                 	3.862497369210e-03	8.659248579840e-04	2.555004945390e-03	2.406337093660e-03
152                 	3.704751567970e-03	8.851260879350e-04	2.857022399430e-03	2.763958690140e-03
153                 	3.780262703700e-03	8.971653119090e-04	2.589480944230e-03	2.342490855650e-03
154                 	3.735937804350e-03	8.513098382980e-04	2.719776860310e-03	2.626639617600e-03
155                 	3.707828552210e-03	8.565590800320e-04	2.754946836080e-03	2.592332015670e-03
156                 	3.783248301020e-03	8.723730169790e-04	2.525259424400e-03	2.208183429420e-03
157                 	3.655681541640e-03	8.360046438630e-04	2.709460096970e-03	2.657935555050e-03
158                 	3.513620981850e-03	8.761759554120e-04	2.687075164560e-03	2.512790833180e-03
159                 	3.733501323890e-03	8.677279906390e-04	2.507535676200e-03	2.304487546560e-03
160                 	3.646563689640e-03	8.604110069560e-04	2.725352055830e-03	2.648642852570e-03
161                 	3.731086803450e-03	8.769953312570e-04	2.571732097810e-03	2.369380242750e-03
162                 	3.730864585630e-03	8.422111688530e-04	2.512759552950e-03	2.404833310160e-03
163                 	3.569083105880e-03	8.710270446500e-04	2.767273536580e-03	2.648307407100e-03
164                 	3.721887340850e-03	8.749690692040e-04	2.485214508350e-03	2.229639093760e-03
165                 	3.698593130310e-03	8.446795210950e-04	2.702032114840e-03	2.641180515060e-03
166                 	3.702617527720e-03	8.594288809480e-04	2.711868158540e-03	2.555149955570e-03
167                 	3.798780028810e-03	8.559981555690e-04	2.479715895910e-03	2.187954056020e-03
168                 	3.548435098350e-03	8.342668841360e-04	2.751808723590e-03	2.716765464230e-03
169                 	3.558276704650e-03	8.656605314820e-04	2.623917787590e-03	2.423914011300e-03
170                 	3.702535171120e-03	8.571954161600e-04	2.550200032420e-03	2.383387887650e-03
171                 	3.633310768030e-03	8.594317036370e-04	2.686798608530e-03	2.631815602340e-03
172                 	3.725152762350e-03	8.719623726210e-04	2.541106408310e-03	2.283967673520e-03
173                 	3.792328825930e-03	8.320085604960e-04	2.544347069900e-03	2.458953667890e-03
174                 	3.519137296620e-03	8.831168407430e-04	2.765616869000e-03	2.622948235060e-03
175                 	3.780322138470e-03	8.739507463010e-04	2.472447001460e-03	2.201087788130e-03
176                 	3.712973807610e-03	8.430871498810e-04	2.729534942380e-03	2.668364136710e-03
177                 	3.792141221340e-03	8.685081384110e-04	2.710134577160e-03	2.501116274090e-03
178                 	3.772893001090e-03	8.550156311730e-04	2.491196869320e-03	2.256612137790e-03
179                 	3.535718503320e-03	8.523876817450e-04	2.793581394220e-03	2.775425214120e-03
180                 	3.589500729000e-03	8.761156406150e-04	2.600041443550e-03	2.382557155460e-03
181                 	3.715420717530e-03	8.433877376660e-04	2.596131903840e-03	2.453306970030e-03
182                 	3.561688103650e-03	8.584328426520e-04	2.693127991320e-03	2.611052828140e-03
183                 	3.693360390520e-03	8.611684081330e-04	2.504371184240e-03	2.186823618140e-03
184                 	3.723107712650e-03	8.249821581630e-04	2.581430010040e-03	2.503632405800e-03
185                 	3.482540674490e-03	8.771072680830e-04	2.731138752200e-03	2.552826409670e-03
186                 	3.741238032400e-03	8.726077946870e-04	2.474495227760e-03	2.233252701100e-03
187                 	3.658622541090e-03	8.411611573380e-04	2.715290636490e-03	2.652214477130e-03
188                 	3.748176134800e-03	8.689729963870e-04	2.640327219890e-03	2.428702958350e-03
189                 	3.740412656480e-03	8.381247632090e-04	2.467636460630e-03	2.287716718280e-03
190                 	3.528859741280e-03	8.507034245510e-04	2.784521638260e-03	2.722494311190e-03
191                 	3.640590007590e-03	8.767939524890e-04	2.539078474050e-03	2.323550219870e-03
192                 	3.676051946670e-03	8.361766281780e-04	2.626218207400e-03	2.537684979150e-03
193                 	3.612057724400e-03	8.499557257850e-04	2.704236535410e-03	2.585285349130e-03
194                 	3.683415838750e-03	8.649263167360e-04	2.494780082100e-03	2.184149066580e-03
195                 	3.672953158770e-03	8.226383492350e-04	2.632326636830e-03	2.574039895480e-03
196                 	3.463560016030e-03	8.656333697100e-04	2.688084042540e-03	2.508892036140e-03
197                 	3.722675321570e-03	8.617994369140e-04	2.472396767730e-03	2.254694029150e-03
198                 	3.587657966980e-03	8.408885816470e-04	2.705310879480e-03	2.634306690930e-03
199                 	3.699622088560e-03	8.706999703600e-04	2.578366573540e-03	2.374514017400e-03
200                 	3.705482309870e-03	8.381689966240e-04	2.471862299340e-03	2.342465788110e-03
201                 	3.571457431650e-03	8.653974001150e-04	2.774510070760e-03	2.675995264920e-03
202                 	3.645235494620e-03	8.764953787050e-04	2.503874596040e-03	2.265508407310e-03
203                 	3.655290326740e-03	8.347586005240e-04	2.653874617360e-03	2.575532775880e-03
204                 	3.608148261250e-03	8.395716027410e-04	2.680085288480e-03	2.525239734690e-03
205                 	3.706936138670e-03	8.459508832770e-04	2.452039519340e-03	2.139548937960e-03
206                 	3.490921372480e-03	8.184481790510e-04	2.673346367050e-03	2.641629284410e-03
207                 	3.462986087920e-03	8.520920700040e-04	2.601736961380e-03	2.420285515220e-03
208                 	3.663580673000e-03	8.504922822610e-04	2.482213074830e-03	2.293110511560e-03
209                 	3.590393908340e-03	8.479897932830e-04	2.672742260900e-03	2.613477855080e-03
210                 	3.637992352200e-03	8.666185350590e-04	2.531592363830e-03	2.315482152190e-03
211                 	3.735930844910e-03	8.284238391750e-04	2.481256632360e-03	2.386174224710e-03
212                 	3.508179351940e-03	8.695660289110e-04	2.745870847210e-03	2.614008215960e-03
213                 	3.715650679360e-03	8.664959186450e-04	2.452020149010e-03	2.185974676440e-03
214                 	3.646081365360e-03	8.427680630780e-04	2.693881827610e-03	2.646813951010e-03
215                 	3.716972582680e-03	8.571364904390e-04	2.688649173890e-03	2.514395870730e-03
216                 	3.757398511830e-03	8.530661812970e-04	2.476032684980e-03	2.193878904230e-03
217                 	3.506858510450e-03	8.390345771330e-04	2.764253241900e-03	2.736848564180e-03
218                 	3.507986649340e-03	8.683318810370e-04	2.607394055930e-03	2.406037103450e-03
219                 	3.692451420620e-03	8.471626374520e-04	2.554086618060e-03	2.391083923160e-03
220                 	3.569462132520e-03	8.546308172340e-04	2.675283330140e-03	2.611462981090e-03
221                 	3.681231565080e-03	8.605475000220e-04	2.518590186660e-03	2.232212548680e-03
222                 	3.698656109040e-03	8.275018762990e-04	2.548927974210e-03	2.464277468870e-03
223                 	3.478380189770e-03	8.739832748640e-04	2.735959641720e-03	2.574177803710e-03
224                 	3.743350525830e-03	8.691110244710e-04	2.461607702730e-03	2.192960247330e-03
225                 	3.685477647670e-03	8.443401715140e-04	2.718429447930e-03	2.663581671830e-03
226                 	3.739624844660e-03	8.714932124520e-04	2.684750585290e-03	2.483298084670e-03
227                 	3.762140749390e-03	8.470895786480e-04	2.470655545850e-03	2.253717210190e-03
228                 	3.525801915420e-03	8.498734035930e-04	2.794102490840e-03	2.750407090720e-03
229                 	3.605268845610e-03	8.741322183150e-04	2.582279437190e-03	2.363081616050e-03
230                 	3.675566304060e-03	8.438686309960e-04	2.608796058130e-03	2.490923481150e-03
231                 	3.582906835130e-03	8.548214627250e-04	2.688225586220e-03	2.602691289700e-03
232                 	3.686385893960e-03	8.662386100240e-04	2.502685496290e-03	2.185124576990e-03
233                 	3.725837767290e-03	8.283341149790e-04	2.613724135770e-03	2.536334449240e-03
234                 	3.453061891860e-03	8.782260769480e-04	2.737410753790e-03	2.555044557360e-03
235                 	3.745439808810e-03	8.667805185130e-04	2.464218517020e-03	2.229323801230e-03
