# Residuals         
# Time              	p                   	Ux                  	Uy                  	Uz                  
1                   	9.999999962060e-01	9.999999985410e-01	1.000000000000e+00	1.000000000000e+00
2                   	5.089554929550e-01	2.949176677060e-01	4.302542640940e-01	4.356397905040e-01
3                   	3.126894566650e-01	3.891000936250e-01	4.537190881820e-01	4.016425115430e-01
4                   	3.076441048020e-01	2.676523851250e-01	3.928697751210e-01	3.653787865740e-01
5                   	2.358430999850e-01	1.784495077010e-01	2.864676040580e-01	2.865758718660e-01
6                   	1.859455847710e-01	1.337257672820e-01	1.952262276520e-01	2.108316054450e-01
7                   	1.485631629540e-01	1.170351633490e-01	1.652363301210e-01	1.703362406070e-01
8                   	1.280949868440e-01	1.107799630090e-01	1.409841312740e-01	1.385409236260e-01
9                   	1.201201920580e-01	1.094975184360e-01	1.216484470210e-01	1.190495521460e-01
10                  	1.140720304250e-01	1.181737294010e-01	1.137264667720e-01	1.124768830520e-01
11                  	1.138780476900e-01	1.278381891480e-01	1.120053980860e-01	1.144096682300e-01
12                  	1.146531509170e-01	1.380488366710e-01	1.228860335310e-01	1.239450197070e-01
13                  	1.124195820230e-01	1.483025707440e-01	1.453464281410e-01	1.422965276790e-01
14                  	1.048560345310e-01	1.525267672650e-01	1.669078606450e-01	1.591288100040e-01
15                  	1.025465462200e-01	1.411610312160e-01	1.784332536360e-01	1.741861344520e-01
16                  	9.971126949490e-02	1.326139885360e-01	1.733368108040e-01	1.718810182290e-01
17                  	9.116705570240e-02	1.252526426010e-01	1.624904760690e-01	1.567603632120e-01
18                  	8.678175085360e-02	1.065500238190e-01	1.502792885710e-01	1.410800467580e-01
19                  	8.157467386790e-02	9.722714200860e-02	1.395801750440e-01	1.274688835130e-01
20                  	8.390574285730e-02	1.168546676900e-01	1.300523737850e-01	1.188463673850e-01
21                  	7.667719188540e-02	1.105777747800e-01	1.145228731870e-01	1.075789085180e-01
22                  	7.046707191380e-02	1.034322813400e-01	9.642502618090e-02	9.456281388940e-02
23                  	6.380623669310e-02	8.888996406260e-02	7.924530783320e-02	8.095089844040e-02
24                  	5.962839059650e-02	7.822168740880e-02	6.770914710520e-02	6.948741942440e-02
25                  	5.610138035700e-02	6.855580081860e-02	6.309549992990e-02	6.167911330040e-02
26                  	5.259756218170e-02	5.877957120670e-02	6.105170127890e-02	5.578444064980e-02
27                  	4.863801453740e-02	4.536353002900e-02	5.638654191250e-02	5.167661124500e-02
28                  	4.419448718940e-02	3.367135240790e-02	5.100279051350e-02	4.884822793810e-02
29                  	4.335749361820e-02	2.831987793350e-02	4.581324395910e-02	4.668572590180e-02
30                  	4.044249565460e-02	2.480767359390e-02	3.939567436770e-02	4.205484110370e-02
31                  	3.810330771380e-02	2.282650177720e-02	3.461770547130e-02	3.724903979780e-02
32                  	3.649923399760e-02	2.099878475100e-02	3.102347136640e-02	3.342615968510e-02
33                  	3.542908850430e-02	1.960595455590e-02	2.840861662360e-02	3.043433757400e-02
34                  	3.412642060770e-02	1.815607322840e-02	2.653124459410e-02	2.786411647830e-02
35                  	3.287711352590e-02	1.704992712090e-02	2.506760239110e-02	2.591298899590e-02
36                  	3.147867456870e-02	1.573583261140e-02	2.382048115040e-02	2.419741435440e-02
37                  	3.011688987330e-02	1.449537599190e-02	2.233616057010e-02	2.266830569350e-02
38                  	2.842795273160e-02	1.330066818250e-02	2.063165452350e-02	2.124374098620e-02
39                  	2.635863277220e-02	1.217371252000e-02	1.876299525400e-02	1.969246211170e-02
40                  	2.423594522740e-02	1.106064356850e-02	1.707389523560e-02	1.818382916950e-02
41                  	2.241069798770e-02	1.028558993700e-02	1.555092921440e-02	1.658711569040e-02
42                  	2.085751584790e-02	9.618480236770e-03	1.424506412090e-02	1.518651994510e-02
