# Residuals         
# Time              	p                   	Ux                  	Uy                  	Uz                  
1                   	9.999999999600e-01	1.000000000000e+00	1.000000000000e+00	1.000000000000e+00
2                   	2.378510568290e-01	6.609225013190e-01	6.221702159480e-01	1.619455361780e-01
3                   	1.466814146280e-01	3.433275951100e-01	3.123827414300e-01	2.276296092400e-01
4                   	1.532693440510e-01	2.358989112870e-01	1.574882360160e-01	2.310565361290e-01
5                   	1.502906610170e-01	6.366198930690e-01	5.873377875840e-01	1.816237799450e-01
6                   	1.757040279680e-01	8.061237022270e-02	3.288045174470e-01	2.732240899880e-02
7                   	2.127574893140e-01	4.052732918120e-01	2.897237352230e-01	2.325056317050e-01
8                   	2.065897664200e-01	5.468323190040e-01	5.038754851900e-01	1.958763776480e-01
9                   	1.713163224550e-01	1.481313130200e-01	4.185801679360e-01	1.953605895230e-01
10                  	1.373218303590e-01	4.313534651940e-01	3.074544305670e-01	2.410487639890e-01
11                  	1.156010201850e-01	5.574546782100e-01	4.628106154160e-01	1.917354788930e-01
12                  	1.043382848680e-01	2.428329853980e-01	3.073778942640e-01	2.989404595170e-02
13                  	9.793636947230e-02	3.563256475780e-01	3.486337295400e-01	2.132181842700e-01
14                  	9.395378214240e-02	3.997106498310e-01	2.791133483150e-01	2.070229268910e-01
15                  	9.430840205710e-02	9.155018302920e-02	1.222959820810e-01	3.381261504390e-02
16                  	9.240967195090e-02	4.705146333900e-01	5.411963346780e-01	1.614618491590e-01
17                  	8.640898119400e-02	3.555394848000e-01	3.093389965070e-01	1.745563439490e-01
18                  	8.111833239480e-02	1.046749684970e-01	1.009549761480e-01	7.092696799780e-02
19                  	7.715974182610e-02	4.173718736620e-01	4.209706246500e-01	1.540168265350e-01
20                  	7.300625556170e-02	5.267830583310e-01	5.582032578590e-01	1.297884037840e-01
21                  	6.722268043450e-02	1.266191134460e-01	1.839521088690e-01	3.275098177430e-02
22                  	6.224624377960e-02	3.262994072670e-01	3.382969693750e-01	1.398126656630e-01
23                  	5.828781623540e-02	4.222605168820e-01	4.038642385790e-01	1.254447322480e-01
24                  	5.441281092470e-02	1.198949872210e-01	1.480117906160e-01	4.896538604060e-02
25                  	5.143390271010e-02	3.847872282720e-01	3.791208830160e-01	1.077822060550e-01
26                  	5.071065506700e-02	3.857898840950e-01	4.468987311900e-01	1.145530197190e-01
27                  	5.011809209170e-02	1.412207131590e-01	2.330718817960e-01	1.986807697030e-02
28                  	4.880713306670e-02	4.183870960970e-01	3.681997663480e-01	1.013672627660e-01
29                  	4.643837882720e-02	3.925415315800e-01	3.746299637100e-01	9.797981056730e-02
30                  	4.391034171300e-02	7.784403745580e-02	1.290125068220e-01	2.734539028180e-02
31                  	4.092364641050e-02	4.229627122970e-01	3.998214159630e-01	9.526728908120e-02
32                  	3.789260135160e-02	4.471240416890e-01	4.249049410410e-01	9.122767720740e-02
33                  	3.570010699420e-02	1.014862594180e-01	1.118265967820e-01	4.334005606300e-02
34                  	3.368279717080e-02	3.120632759790e-01	3.408744181900e-01	8.596342873160e-02
35                  	3.269081847950e-02	4.319671106270e-01	3.724482007590e-01	8.154928774110e-02
36                  	3.212627802740e-02	1.045877794410e-01	8.359258012720e-02	2.140371693090e-02
37                  	3.126194385260e-02	3.790219614290e-01	4.124097768190e-01	7.734534635460e-02
38                  	2.999813837660e-02	3.032074280660e-01	2.994296090000e-01	7.280385064770e-02
39                  	2.813293556860e-02	4.026194595840e-02	5.009244780580e-02	2.521662688350e-02
40                  	2.645090482090e-02	4.482841636860e-01	4.508152652230e-01	6.566537065620e-02
41                  	2.490923406110e-02	3.966768898130e-01	4.150836154780e-01	6.537373500510e-02
42                  	2.355865263020e-02	1.056157126620e-01	6.727885825610e-02	3.754045388700e-02
43                  	2.209877037800e-02	3.333717486580e-01	2.593865366080e-01	5.574691179020e-02
44                  	2.140580022650e-02	3.995400353980e-01	4.383134206630e-01	5.536013006150e-02
45                  	2.093284422370e-02	3.050250606670e-02	7.594916346270e-02	2.135245644770e-02
46                  	2.007193507530e-02	3.474704147340e-01	2.856280154560e-01	4.982657720090e-02
47                  	1.926756595800e-02	3.429887853070e-01	2.830561541350e-01	4.708164665480e-02
48                  	1.819937108710e-02	7.549020675250e-02	6.141372146810e-02	2.516192749470e-02
49                  	1.718598434590e-02	3.523165010700e-01	3.529912002670e-01	4.530415917040e-02
50                  	1.630797900400e-02	3.528993609720e-01	2.887661327040e-01	4.245391073540e-02
