# Residuals         
# Time              	p                   	Ux                  	Uy                  	Uz                  
1                   	9.999999971190e-01	1.000000000000e+00	1.000000000000e+00	9.999999993830e-01
2                   	3.036428921910e-01	5.109015916930e-01	4.885875555500e-01	1.786789024400e-01
3                   	2.667931415960e-01	3.112688244330e-01	2.955444751300e-01	1.288495584270e-01
4                   	1.731531310410e-01	2.081619365560e-01	2.175566977320e-01	8.055506579170e-02
5                   	1.293054516050e-01	1.518907895670e-01	1.615914960070e-01	6.129786563140e-02
6                   	1.151078138440e-01	1.120159914690e-01	1.218430249030e-01	5.222146275610e-02
7                   	1.078325476380e-01	9.088164382680e-02	9.943469517220e-02	5.199781541200e-02
8                   	1.026958274700e-01	8.288899690890e-02	9.105491850990e-02	4.407262008230e-02
9                   	1.145070597630e-01	7.845464832850e-02	8.311826526020e-02	4.111730694670e-02
10                  	9.819663763130e-02	8.893822371180e-02	1.297018403210e-01	5.591138991510e-02
11                  	1.029644228000e-01	9.130927132280e-02	9.551844040690e-02	4.298252262950e-02
12                  	9.994642831830e-02	7.883800337490e-02	8.997836724040e-02	4.217091630330e-02
13                  	9.269404214220e-02	6.581631041340e-02	7.630839061150e-02	3.873759424870e-02
14                  	8.334155495360e-02	5.778800528690e-02	6.465161215190e-02	3.636861895350e-02
15                  	7.756583668950e-02	5.403706395360e-02	5.838405843990e-02	3.453459400950e-02
16                  	7.614825769470e-02	5.025394331950e-02	5.178157945300e-02	3.189620104100e-02
17                  	7.245755033060e-02	4.896169386110e-02	5.036213438790e-02	2.973929538330e-02
18                  	6.968271053000e-02	4.648840825930e-02	4.691606190820e-02	2.801651124620e-02
19                  	6.453796594140e-02	4.469450011900e-02	4.502533232760e-02	2.690423855490e-02
20                  	6.216809822730e-02	4.260126541480e-02	4.175144612410e-02	2.576253989340e-02
21                  	6.023634732530e-02	4.029465940940e-02	3.889885010880e-02	2.431318443450e-02
22                  	5.880797520510e-02	3.719528493830e-02	3.553861203230e-02	2.312406321830e-02
23                  	5.771236003680e-02	3.442907823880e-02	3.290844613100e-02	2.196068632500e-02
24                  	5.510662313120e-02	3.221949236390e-02	3.087140880620e-02	2.119611047780e-02
25                  	5.409848374720e-02	3.073384491760e-02	2.974292272140e-02	2.042828289350e-02
26                  	5.308255933670e-02	2.974399875110e-02	2.944522461470e-02	2.008446064920e-02
27                  	5.399502998800e-02	2.866724118020e-02	2.881847135940e-02	1.941454773970e-02
28                  	5.592006722800e-02	2.676577141510e-02	2.700017820380e-02	1.840730084420e-02
29                  	5.573070171660e-02	2.823029577770e-02	2.884926101500e-02	1.904949135210e-02
30                  	5.708156669830e-02	2.669424912090e-02	2.659933237310e-02	1.810653907540e-02
31                  	5.648261192920e-02	2.775406322980e-02	2.762268085960e-02	1.947268231910e-02
32                  	5.477261339580e-02	2.593180693120e-02	2.518669228610e-02	1.780666732030e-02
33                  	5.237566169770e-02	2.498872122220e-02	2.396302463400e-02	1.733171616300e-02
34                  	4.960415205950e-02	2.574760479790e-02	2.474118744650e-02	1.866853043900e-02
35                  	4.608969517480e-02	2.377992877130e-02	2.213281548640e-02	1.704526175570e-02
36                  	4.254700024570e-02	2.419346807530e-02	2.286815063430e-02	1.720756511090e-02
37                  	4.107888323400e-02	2.241114561910e-02	2.074750551500e-02	1.615751798280e-02
38                  	3.839711140940e-02	2.294659020600e-02	2.189357680760e-02	1.655463378600e-02
39                  	3.665237772460e-02	2.199067574210e-02	2.113463121800e-02	1.571927301720e-02
40                  	3.557422335250e-02	2.100574448710e-02	2.033970046370e-02	1.554882453280e-02
41                  	3.414089429560e-02	2.005695667830e-02	1.975065489970e-02	1.464821476860e-02
42                  	3.362983115180e-02	1.936723378370e-02	1.929748531620e-02	1.465239464360e-02
43                  	3.237036257820e-02	1.874655073150e-02	1.876129405220e-02	1.400453840780e-02
44                  	3.252528261410e-02	1.832679950530e-02	1.827203940730e-02	1.428836602700e-02
45                  	3.089418699770e-02	1.782455612160e-02	1.766972956760e-02	1.353713528750e-02
46                  	3.113115108010e-02	1.744720497590e-02	1.709157164630e-02	1.403642347020e-02
47                  	2.883944315020e-02	1.707756438800e-02	1.659200798220e-02	1.306608074990e-02
48                  	2.795927910500e-02	1.708150629180e-02	1.654927870270e-02	1.324813044810e-02
49                  	2.826757490600e-02	1.668136948390e-02	1.618558083050e-02	1.343898404610e-02
50                  	2.699642965300e-02	1.661681967020e-02	1.625658961180e-02	1.266010354750e-02
51                  	2.854739596170e-02	1.698096438020e-02	1.687145203580e-02	1.308310280640e-02
52                  	2.786591241600e-02	1.769579482690e-02	1.775031874760e-02	1.264370065800e-02
53                  	2.789955433440e-02	1.786745416240e-02	1.800222874130e-02	1.210075046940e-02
54                  	2.768574653880e-02	1.839560866310e-02	1.874897999730e-02	1.222763461690e-02
55                  	2.793178301380e-02	1.865600408770e-02	1.910851593940e-02	1.227941223560e-02
56                  	2.787936504060e-02	1.868344138180e-02	1.914091678490e-02	1.235389122830e-02
57                  	2.676130752090e-02	1.863940598030e-02	1.913303485380e-02	1.216350001840e-02
58                  	2.603538942110e-02	1.843844111900e-02	1.910739036620e-02	1.181046327650e-02
59                  	2.510721998320e-02	1.842898429770e-02	1.901883378150e-02	1.188561458190e-02
60                  	2.415194389460e-02	1.827162068710e-02	1.890103177100e-02	1.184126366550e-02
61                  	2.290773617130e-02	1.790867548670e-02	1.856844861360e-02	1.168820632170e-02
62                  	2.162363513880e-02	1.749932676280e-02	1.818742280040e-02	1.147283074180e-02
63                  	2.038493654200e-02	1.712678126790e-02	1.784246914800e-02	1.121627764370e-02
64                  	1.901699705840e-02	1.677201754300e-02	1.751954807710e-02	1.090858372710e-02
65                  	1.779466767090e-02	1.642481351380e-02	1.720438872720e-02	1.052858660440e-02
66                  	1.652614019430e-02	1.601894306860e-02	1.679248059880e-02	1.004767190560e-02
67                  	1.603009390630e-02	1.551863722090e-02	1.633342678400e-02	9.710828076600e-03
68                  	1.490468006390e-02	1.520165397420e-02	1.611936327290e-02	8.903414044410e-03
69                  	1.431269457330e-02	1.468612768570e-02	1.561785667810e-02	8.226150762840e-03
70                  	1.396501758420e-02	1.429138995820e-02	1.501591078770e-02	7.616359142360e-03
71                  	1.375663571840e-02	1.383683716850e-02	1.440794195890e-02	7.024566256520e-03
72                  	1.370770980070e-02	1.325981508350e-02	1.378712276270e-02	6.480505550730e-03
73                  	1.372154700000e-02	1.273931064130e-02	1.318053222720e-02	6.021044284460e-03
74                  	1.353083666180e-02	1.197967621520e-02	1.266500638050e-02	5.609348079690e-03
75                  	1.345530790200e-02	1.130217253710e-02	1.208302141720e-02	5.286701164010e-03
76                  	1.326500530510e-02	1.062554294110e-02	1.146527347270e-02	5.029699662560e-03
77                  	1.303447467500e-02	1.003403488150e-02	1.084673699180e-02	4.843075067810e-03
78                  	1.272643641670e-02	9.435498735710e-03	1.022876894120e-02	4.706463601890e-03
79                  	1.243881040670e-02	8.865264751900e-03	9.606839215510e-03	4.607634766100e-03
80                  	1.263099900250e-02	8.259274882780e-03	8.949768911340e-03	4.608293907390e-03
81                  	1.171462307780e-02	7.924160758520e-03	8.543226647900e-03	4.470630809110e-03
82                  	1.116938766590e-02	7.199818365610e-03	7.781042764680e-03	4.394962065760e-03
83                  	1.083839503820e-02	6.734990602520e-03	7.246834315400e-03	4.306160499250e-03
84                  	1.058044725500e-02	6.257669032400e-03	6.741710199050e-03	4.241528273110e-03
85                  	9.959201748030e-03	5.992958766690e-03	6.492502509760e-03	4.171294850900e-03
